"","MoleculeID","LogKOA_pred","KOA_predRange","AD_KOA","AD_index_KOA","Conf_index_KOA"
"1",26036,9.59,"[7.86:11.32]",0,0.048,0.314
"2",6401,11.07,"[9.75:12.06]",1,0.799,0.572
"3",7933,10.95,"[9.61:12.06]",1,0.787,0.569
"4",21176,9.56,"[7.82:11.3]",0,0.057,0.317
"5",23282,11.68,"[11.4:11.96]",0,0.327,0.622
"6",1782,5.96,"[5.65:6.27]",1,0.958,0.889
"7",9520,9.4,"[7.66:11.14]",0,0.118,0.34
"8",12199,9.46,"[8.98:9.82]",1,0.995,0.817
"9",7762,8.18,"[7.44:9.04]",0,0.397,0.538
"10",4350,8.18,"[7.44:9.04]",0,0.395,0.537
"11",5849,8.98,"[8.74:9.34]",1,0.979,0.841
"12",13057,10.46,"[9.34:11.43]",1,0.945,0.66
"13",8959,11.09,"[9.74:12.06]",1,0.754,0.552
"14",5736,8.2,"[7.44:9.07]",0,0.384,0.531
"15",2101,7.86,"[7.36:8.36]",1,0.766,0.719
"16",6909,10.61,"[9.43:11.79]",1,0.819,0.614
"17",23160,9.58,"[7.85:11.31]",0,0.049,0.314
"18",6072,8.73,"[7.64:9.87]",1,0.867,0.615
"19",3656,8.53,"[7.44:9.81]",0,0.188,0.416
"20",28837,9.58,"[7.84:11.32]",0,0.073,0.322
"21",8387,9.17,"[7.46:10.88]",0,0.319,0.414
"22",15023,11.71,"[11.44:11.98]",1,0.806,0.785
"23",10861,10.59,"[9.34:11.66]",1,0.971,0.651
"24",7489,8.22,"[7.87:8.55]",1,0.992,0.894
"25",13624,11.69,"[11.41:11.97]",1,0.621,0.72
"26",5727,8.97,"[8.83:9.11]",1,0.971,0.912
"27",7657,9.22,"[7.5:10.94]",0,0.311,0.41
"28",9949,9.32,"[7.59:11.05]",0,0.295,0.401
"29",9315,8.15,"[7.44:8.98]",0,0.418,0.55
"30",8797,10.67,"[9.39:11.95]",1,0.789,0.587
"31",11787,9.81,"[8.93:10.57]",1,0.98,0.729
"32",14036,10.41,"[8.92:11.9]",0,0.471,0.452
"33",22211,10.17,"[8.68:11.66]",0,0.259,0.384
"34",28495,9.79,"[8.11:11.47]",0,0.144,0.327
"35",16513,10.37,"[8.88:11.86]",0,0.445,0.444
"36",6479,8.37,"[7.44:9.55]",0,0.373,0.494
"37",9108,9.62,"[8.71:10.53]",1,0.981,0.727
"38",29455,9.61,"[7.88:11.34]",0,0.04,0.311
"39",11286,10.39,"[9.18:11.6]",1,0.82,0.615
"40",4702,7.22,"[6.79:7.83]",1,0.991,0.796
"41",13471,10.58,"[9.11:12.05]",0,0.567,0.484
"42",5712,6.88,"[6.65:7.18]",1,0.989,0.876
"43",13126,9.24,"[7.52:10.96]",0,0.307,0.407
"44",5172,3.88,"[3.74:4.03]",1,0.997,0.934
"45",10739,11.32,"[10.08:12.06]",1,0.822,0.583
"46",3639,9.22,"[8.28:10.16]",1,0.832,0.637
"47",16036,9.32,"[7.59:11.05]",0,0.172,0.36
"48",4748,8.17,"[7.97:8.37]",1,0.987,0.904
"49",8201,7.25,"[6.79:7.85]",1,0.985,0.793
"50",8821,8.95,"[8.81:9.09]",1,0.974,0.919
"51",5091,6.65,"[6.31:7.03]",1,0.96,0.853
"52",21769,9.7,"[7.96:11.44]",0,0.204,0.363
"53",6866,10.26,"[9:11.52]",1,0.805,0.604
"54",10374,10.46,"[9.34:11.43]",1,0.945,0.659
"55",1669,4.56,"[4.09:5.05]",1,0.982,0.814
"56",1017,7.37,"[5.7:8.57]",1,0.877,0.548
"57",8738,9.15,"[7.45:10.85]",0,0.323,0.417
"58",2150,8.1,"[7.44:8.89]",0,0.454,0.57
"59",8792,9.23,"[7.51:10.95]",0,0.183,0.366
"60",7115,10.67,"[9.39:11.95]",1,0.789,0.587
"61",22256,9.55,"[7.81:11.29]",0,0.135,0.342
"62",14742,11.69,"[11.41:11.97]",1,0.595,0.712
"63",19167,9.51,"[7.77:11.25]",0,0.105,0.333
"64",11007,10.52,"[9.04:12]",0,0.537,0.474
"65",20332,9.55,"[7.81:11.29]",0,0.067,0.321
"66",407,5.99,"[4.83:7.15]",1,0.906,0.67
"67",402,7.44,"[6.64:8.08]",1,0.651,0.672
"68",458,4.52,"[4.03:5.01]",1,0.978,0.82
"69",2189,4.86,"[4.63:5.09]",1,0.954,0.912
"70",4920,9.17,"[8.2:10.14]",1,0.867,0.646
"71",19393,9.52,"[7.78:11.26]",0,0.083,0.326
"72",3736,7.8,"[7.27:8.33]",1,0.819,0.735
"73",6891,9.13,"[7.44:10.83]",0,0.325,0.418
"74",14718,9.43,"[7.69:11.17]",0,0.115,0.339
"75",16035,9.43,"[7.69:11.17]",0,0.115,0.339
"76",12310,9.38,"[7.64:11.12]",0,0.284,0.395
"77",13991,11.69,"[11.4:11.98]",1,0.924,0.815
"78",11197,9.64,"[9.06:10.22]",1,0.988,0.817
"79",12829,8.53,"[7.44:9.81]",0,0.187,0.415
"80",19770,9.72,"[7.98:11.46]",0,0.193,0.359
"81",3519,8.7,"[7.49:9.9]",1,0.765,0.581
"82",190,3.65,"[3.23:4.07]",1,0.993,0.851
"83",15819,9.5,"[7.76:11.24]",0,0.145,0.346
"84",9920,9.24,"[7.52:10.96]",0,0.182,0.366
"85",7645,8.36,"[7.44:9.53]",0,0.379,0.498
"86",9985,9.39,"[7.65:11.13]",0,0.282,0.394
"87",16516,9.37,"[7.63:11.11]",0,0.166,0.357
"88",11067,8.53,"[8.36:8.77]",1,0.989,0.887
"89",21349,9.52,"[7.78:11.26]",0,0.083,0.326
"90",1776,6.7,"[6.31:7.09]",1,0.955,0.849
"91",14991,9.42,"[7.68:11.16]",0,0.277,0.392
"92",3881,7.25,"[6.79:7.85]",1,0.986,0.793
"93",19831,9.5,"[7.76:11.24]",0,0.085,0.327
"94",15018,11.7,"[11.43:11.97]",1,0.703,0.748
"95",3518,9.3,"[8.46:10.14]",1,0.896,0.675
"96",667,4.43,"[4.09:4.83]",1,0.978,0.838
"97",10394,9.91,"[8.69:11.13]",1,0.823,0.618
"98",2005,5.98,"[4.8:7.16]",1,0.902,0.667
"99",15519,11.57,"[11.24:11.9]",1,0.947,0.818
"100",4727,7.25,"[6.79:7.82]",1,0.959,0.793
"101",4695,6.31,"[5.99:6.63]",1,0.939,0.872
"102",13988,11.69,"[11.4:11.98]",1,0.925,0.815
"103",12172,10.61,"[9.14:12.06]",0,0.578,0.487
"104",13458,9.57,"[7.84:11.3]",0,0.049,0.315
"105",23595,9.6,"[7.87:11.33]",0,0.038,0.311
"106",24216,9.72,"[7.98:11.46]",0,0.19,0.358
"107",6009,9.23,"[7.51:10.95]",0,0.183,0.367
"108",15331,11.69,"[11.41:11.97]",1,0.658,0.733
"109",13305,9.56,"[7.81:11.31]",0,0.249,0.379
"110",9991,9.75,"[9.16:10.34]",1,0.983,0.779
"111",10643,10.54,"[9.06:12.02]",0,0.544,0.476
"112",16684,10.31,"[8.82:11.8]",0,0.401,0.43
"113",3877,8.9,"[7.79:10.01]",1,0.854,0.618
"114",10565,9.26,"[7.54:10.98]",0,0.303,0.405
"115",25051,9.57,"[7.83:11.31]",0,0.064,0.319
"116",13042,9.54,"[7.79:11.29]",0,0.252,0.381
"117",6860,9.13,"[7.44:10.83]",0,0.325,0.418
"118",14602,10.37,"[8.88:11.86]",0,0.444,0.444
"119",19929,10.19,"[8.7:11.68]",0,0.278,0.39
"120",12840,9.57,"[7.84:11.3]",0,0.049,0.315
"121",13829,9.34,"[7.61:11.07]",0,0.17,0.358
"122",19307,9.63,"[7.89:11.37]",0,0.23,0.372
"123",18030,9.35,"[7.61:11.09]",0,0.168,0.357
"124",10845,9.29,"[7.56:11.02]",0,0.298,0.403
"125",9682,9.26,"[7.54:10.98]",0,0.18,0.364
"126",17762,11.68,"[11.4:11.96]",1,0.543,0.694
"127",18176,9.57,"[7.84:11.3]",0,0.049,0.315
"128",27379,11.67,"[11.39:11.95]",0,0.207,0.581
"129",13127,9.41,"[7.67:11.15]",0,0.117,0.34
"130",4549,7.05,"[6.65:7.64]",1,0.987,0.804
"131",2032,7.42,"[6.59:8.08]",1,0.625,0.659
"132",1205,4.82,"[4.58:5.06]",1,0.941,0.907
"133",28784,9.59,"[7.86:11.32]",0,0.047,0.314
"134",1064,4.31,"[4.15:4.47]",1,0.962,0.891
"135",10771,10.42,"[8.93:11.91]",0,0.478,0.455
"136",4458,8.41,"[8.29:8.55]",1,0.98,0.929
"137",9109,9.62,"[8.71:10.53]",1,0.981,0.727
"138",957,5.65,"[4.29:7.01]",1,0.848,0.623
"139",9181,9.25,"[7.53:10.97]",0,0.305,0.406
