formulaRank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScoreNormalized,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks(ppm),medianAbsoluteMassErrorFragmentPeaks(ppm),massErrorPrecursor(ppm),lipidClass,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C23H46O13,[M + H3N + H]+,C23H50NO13+,,0.988,17.102,15.463,1.639,9,0.680,-0.829,2.452,-0.723,,548.327,11,0.184,745820170097373274,745742045450963598,21005,
2,C30H42O8,[M + H3N + H]+,C30H46NO8+,,0.011,12.621,12.621,0.000,8,0.655,3.226,3.226,9.988,,548.327,11,0.184,745820170097373275,745742045450963598,21005,
3,C31H38N4O4,[M + H3N + H]+,C31H42N5O4+,,0.001,10.080,10.080,0.000,9,0.680,4.168,6.131,7.549,,548.327,11,0.184,745820170097373276,745742045450963598,21005,
4,C20H38N10O7,[M + H3N + H]+,C20H42N11O7+,,0.000,8.058,7.127,0.931,8,0.645,0.341,1.183,1.735,,548.327,11,0.184,745820170097373277,745742045450963598,21005,
5,C19H42N6O11,[M + H3N + H]+,C19H46N7O11+,,0.000,7.819,5.651,2.168,8,0.655,2.011,2.011,4.174,,548.327,11,0.184,745820170097373278,745742045450963598,21005,
6,C36H38N2O2,[M + H3N + H]+,C36H42N3O2+,,0.000,7.216,7.216,0.000,2,0.118,-2.305,2.305,0.212,,548.327,11,0.184,745820170097373279,745742045450963598,21005,
7,C21H34N14O3,[M + H3N + H]+,C21H38N15O3+,,0.000,6.830,6.830,0.000,6,0.392,-4.742,4.742,-0.704,,548.327,11,0.184,745820170097373280,745742045450963598,21005,
8,C24H42N4O9,[M + H3N + H]+,C24H46N5O9+,,0.000,6.315,6.315,0.000,8,0.645,-1.183,3.226,-3.162,,548.327,11,0.184,745820170097373281,745742045450963598,21005,
9,C22H41F3N4O7,[M + H3N + H]+,C22H45F3N5O7+,,0.000,6.156,4.563,1.593,8,0.645,0.128,1.183,1.296,,548.327,11,0.184,745820170097373282,745742045450963598,21005,
10,C27H42N4O5Si,[M + H3N + H]+,C27H46N5O5Si+,,0.000,5.717,5.717,0.000,9,0.680,-0.987,2.522,1.820,,548.327,11,0.184,745820170097373283,745742045450963598,21005,
1,C29H57N5O11,[M + H]+,C29H58N5O11+,,0.999,30.472,28.323,2.149,11,0.901,-3.653,3.653,-0.677,,652.412,22,0.374,745820170298700043,745742115961421490,24362,
2,C34H57N3O9,[M + H]+,C34H58N3O9+,,0.001,22.980,22.980,0.000,10,0.891,-3.980,3.980,-6.843,,652.412,22,0.374,745820170298700044,745742115961421490,24362,
3,C36H53N5O6,[M + H]+,C36H54N5O6+,,0.000,22.341,22.341,0.000,10,0.878,1.122,3.812,8.325,,652.412,22,0.374,745820170298700045,745742115961421490,24362,
4,C26H58FN5O12,[M + H]+,C26H59FN5O12+,,0.000,20.602,16.260,4.342,10,0.891,-3.325,3.325,-2.429,,652.412,22,0.374,745820170298700046,745742115961421490,24362,
5,C32H62NO10P,[M + H]+,C32H63NO10P+,,0.000,20.097,20.097,0.000,10,0.891,-3.980,3.980,-9.377,,652.412,22,0.374,745820170298700047,745742115961421490,24362,
6,C30H53N9O7,[M + H]+,C30H54N9O7+,,0.000,13.504,13.398,0.106,9,0.876,-3.355,3.355,-2.727,,652.412,22,0.374,745820170298700048,745742115961421490,24362,
7,C36H59O10,[M + H]+,C36H60O10+,,0.000,13.438,13.438,0.000,8,0.521,-3.325,3.325,-8.901,,652.412,22,0.374,745820170298700049,745742115961421490,24362,
8,C31H58FN3O10,[M + H]+,C31H59FN3O10+,,0.000,12.736,12.736,0.000,10,0.891,-3.980,3.980,-8.595,,652.412,22,0.374,745820170298700050,745742115961421490,24362,
9,C33H54FN5O7,[M + H]+,C33H55FN5O7+,,0.000,12.154,12.154,0.000,9,0.868,1.392,2.141,6.574,,652.412,22,0.374,745820170298700051,745742115961421490,24362,
10,C41H53N3O4,[M + H]+,C41H54N3O4+,,0.000,11.433,11.433,0.000,6,0.807,0.082,1.911,2.159,,652.412,22,0.374,745820170298700052,745742115961421490,24362,
1,C12H20N6O5,[M + H]+,C12H21N6O5+,,0.846,27.328,25.351,1.976,14,0.843,3.897,5.111,-0.077,,329.157,24,0.397,745820171431162665,745741815007470031,10184,
2,C16H24O7,[M + H]+,C16H25O7+,,0.082,24.990,24.818,0.172,11,0.392,-0.488,2.584,-8.235,,329.157,24,0.397,745820171431162666,745741815007470031,10184,
3,C14H22N3O6,[M + H]+,C14H23N3O6+,,0.069,24.824,23.294,1.530,14,0.878,0.049,6.619,-4.156,,329.157,24,0.397,745820171431162667,745741815007470031,10184,
4,C14H23F3O5,[M + H]+,C14H24F3O5+,,0.003,21.631,19.095,2.536,15,0.539,2.378,3.505,-0.809,,329.157,24,0.397,745820171431162668,745741815007470031,10184,
5,C9H21FN6O6,[M + H]+,C9H22FN6O6+,,0.000,13.834,11.721,2.113,16,0.911,1.615,6.757,-3.549,,329.157,24,0.397,745820171431162670,745741815007470031,10184,
6,C10H25N4O6P,[M + H]+,C10H26N4O6P+,,0.000,12.100,9.748,2.352,14,0.878,-1.169,5.481,-5.100,,329.157,24,0.397,745820171431162671,745741815007470031,10184,
7,C16H25FO4Si,[M + H]+,C16H26FO4Si+,,0.000,11.269,11.269,0.000,13,0.444,1.441,5.344,-3.408,,329.157,24,0.397,745820171431162672,745741815007470031,10184,
8,C11H25ClN4O5,[M + H]+,C11H26ClN4O5+,,0.000,11.081,11.081,0.000,14,0.878,-1.860,5.019,-5.636,,329.157,24,0.397,745820171431162673,745741815007470031,10184,
9,C11H24N2O9,[M + H]+,C11H25N2O9+,,0.000,10.672,8.467,2.205,9,0.658,1.816,4.801,3.986,,329.157,24,0.397,745820171431162674,745741815007470031,10184,
10,C17H22F2O4,[M + H]+,C17H23F2O4+,,0.000,10.505,10.505,0.000,10,0.359,2.667,3.235,2.664,,329.157,24,0.397,745820171431162675,745741815007470031,10184,
1,C16H34N2O8,[M - H2O + H]+,C16H33N2O7+,,0.926,25.957,23.186,2.771,5,0.938,-0.956,2.184,-49314.193,,365.228,24,0.397,745820170055430183,745741861853660247,12394,
2,C17H30N6O4,[M - H2O + H]+,C17H29N6O3+,,0.073,23.415,23.249,0.167,6,0.945,-0.275,1.570,-49317.854,,365.228,24,0.397,745820170055430184,745741861853660247,12394,
3,C14H31FN6O5,[M - H2O + H]+,C14H30FN6O4+,,0.001,18.875,16.434,2.441,6,0.946,-0.009,2.080,-49320.984,,365.228,24,0.397,745820170055430185,745741861853660247,12394,
4,C12H30N8O6,[M - H2O + H]+,C12H29N8O5+,,0.000,17.816,16.256,1.560,6,0.946,-0.009,2.227,-49306.840,,365.228,24,0.397,745820170055430186,745741861853660247,12394,
5,C15H38N2O5Si2,[M - H2O + H]+,C15H37N2O4Si2+,,0.000,16.491,16.491,0.000,6,0.945,-0.009,3.030,-49315.313,,365.228,24,0.397,745820170055430187,745741861853660247,12394,
6,C15H35N4O5P,[M - H2O + H]+,C15H34N4O4P+,,0.000,16.332,14.147,2.184,5,0.938,-0.956,2.184,-49322.381,,365.228,24,0.397,745820170055430188,745741861853660247,12394,
7,C14H32N5O7,[M - H2O + H]+,C14H31N5O6+,,0.000,15.164,12.644,2.520,4,0.927,7.848,7.848,-49310.516,,365.228,24,0.397,745820170055430189,745741861853660247,12394,
8,C15H28N9O3,[M - H2O + H]+,C15H27N9O2+,,0.000,13.226,12.352,0.874,4,0.927,7.848,7.848,-49314.178,,365.228,24,0.397,745820170055430190,745741861853660247,12394,
9,C13H33N7O4P,[M - H2O + H]+,C13H32N7O3P+,,0.000,13.137,10.210,2.927,4,0.927,7.848,7.848,-49318.705,,365.228,24,0.397,745820170055430191,745741861853660247,12394,
10,C11H31N10O3P,[M - H2O + H]+,C11H30N10O2P+,,0.000,13.097,10.478,2.619,4,0.927,7.848,7.848,-49315.029,,365.228,24,0.397,745820170055430192,745741861853660247,12394,
1,C6H7ClN2O,[M + H]+,C6H8ClN2O+,,0.774,6.495,6.495,0.000,3,0.046,-11.999,11.999,-10.361,,159.030,27,0.444,745820170139316364,745741643447819451,1664,
2,C6H6O5,[M + H]+,C6H7O5+,,0.113,4.567,4.500,0.067,0,0.000,,,9.555,,159.030,27,0.444,745820170139316365,745741643447819451,1664,
3,C5H7N2O2P,[M + H]+,C5H8N2O2P+,,0.075,4.161,3.723,0.438,3,0.046,-10.868,10.868,-9.252,,159.030,27,0.444,745820170139316366,745741643447819451,1664,
4,C4H3FN4O2,[M + H]+,C4H4FN4O2+,,0.018,2.754,2.537,0.217,2,0.027,-6.859,6.859,-6.042,,159.030,27,0.444,745820170139316368,745741643447819451,1664,
5,C7H2N4O,[M + H]+,C7H3N4O+,,0.009,2.000,2.000,0.000,0,0.000,,,1.145,,159.030,27,0.444,745820170139316369,745741643447819451,1664,
6,CH10N3O2P2,[M + H]+,CH11N3O2P2+,,0.004,1.323,1.323,0.000,1,0.587,19.813,19.813,-11.206,,159.030,27,0.444,745820170139316370,745741643447819451,1664,
7,C2H9NO5P,[M + H]+,C2H10NO5P+,,0.002,0.748,0.300,0.448,0,0.000,,,7.601,,159.030,27,0.444,745820170139316371,745741643447819451,1664,
8,C7H10S2,[M + H]+,C7H11S2+,,0.002,0.391,0.391,0.000,0,0.000,,,4.090,,159.030,27,0.444,745820170139316372,745741643447819451,1664,
9,C2H2F4N4,[M + H]+,C2H3F4N4+,,0.002,0.391,0.391,0.000,0,0.000,,,9.330,,159.030,27,0.444,745820170139316373,745741643447819451,1664,
10,C6H10OSSi,[M + H]+,C6H11OSSi+,,0.000,-1.219,-1.219,0.000,0,0.000,,,5.535,,159.030,27,0.444,745820170139316374,745741643447819451,1664,
1,C26H49N5O10,[M + H]+,C26H50N5O10+,,0.872,18.396,18.396,0.000,8,0.978,-3.898,5.684,-3.906,,592.353,28,0.469,745820170013487095,745742076497207678,22481,
2,C32H49NO9,[M + H]+,C32H50NO9+,,0.108,16.303,16.303,0.000,7,0.954,3.256,5.876,8.266,,592.353,28,0.469,745820170013487096,745742076497207678,22481,
3,C33H45N5O5,[M + H]+,C33H46N5O5+,,0.017,14.475,14.475,0.000,5,0.896,3.769,3.769,6.009,,592.353,28,0.469,745820170013487097,745742076497207678,22481,
4,C25H53NO14,[M + H]+,C25H54NO14+,,0.002,12.268,12.268,0.000,7,0.954,-2.228,3.478,-1.649,,592.353,28,0.469,745820170013487098,745742076497207678,22481,
5,C27H45N9O6,[M + H]+,C27H46N9O6+,,0.000,10.166,10.166,0.000,7,0.955,-1.643,4.978,-6.164,,592.353,28,0.469,745820170013487099,745742076497207678,22481,
6,C38H45N3O3,[M + H]+,C38H46N3O3+,,0.000,10.110,10.110,0.000,2,0.389,-3.250,3.250,-0.782,,592.353,28,0.469,745820170013487100,745742076497207678,22481,
7,C34H41N9O,[M + H]+,C34H42N9O+,,0.000,10.020,10.020,0.000,2,0.389,1.418,1.418,3.751,,592.353,28,0.469,745820170013487101,745742076497207678,22481,
8,C29H49N5O6Si,[M + H]+,C29H50N5O6Si+,,0.000,8.731,8.731,0.000,8,0.978,0.446,1.943,0.706,,592.353,28,0.469,745820170013487102,745742076497207678,22481,
9,C31H42FN9O2,[M + H]+,C31H43FN9O2+,,0.000,8.664,8.664,0.000,2,0.389,-0.569,0.735,1.822,,592.353,28,0.469,745820170013487103,745742076497207678,22481,
10,C30H46FN5O6,[M + H]+,C30H47FN5O6+,,0.000,8.344,8.344,0.000,5,0.896,1.732,1.732,4.079,,592.353,28,0.469,745820170013487104,745742076497207678,22481,
1,C3HClN2O,[M + H]+,C3H2ClN2O+,,0.576,0.391,0.391,0.000,0,0.000,,,5.796,,116.986,28,0.471,745820168637754435,745741618290379335,483,
2,CN4OS,[M + H]+,CHN4OS+,,0.212,-0.609,-0.609,0.000,0,0.000,,,-7.379,,116.986,28,0.471,745820168637754436,745741618290379335,483,
3,C2HN2O2P,[M + H]+,C2H2N2O2P+,,0.212,-0.609,-0.609,0.000,0,0.000,,,7.305,,116.986,28,0.471,745820168637754437,745741618290379335,483,
1,C4H7Cl2N,[M + H]+,C4H8Cl2N+,,0.803,16.037,14.522,1.515,1,0.586,-7.092,7.092,-4.527,,140.002,31,0.517,745820168931355895,745741632400020639,1145,
2,C2H5NO4S,[M + H]+,C2H6NO4S+,,0.189,14.592,14.463,0.129,1,0.586,9.336,9.336,7.087,,140.002,31,0.517,745820168931355896,745741632400020639,1145,
3,C2H7NO2P2,[M + H]+,C2H8NO2P2+,,0.004,10.680,9.612,1.068,1,0.586,-3.527,3.527,-2.006,,140.002,31,0.517,745820168931355897,745741632400020639,1145,
4,C3H7ClNOP,[M + H]+,C3H8ClNOP+,,0.003,10.420,8.961,1.458,1,0.586,-5.309,5.309,-3.267,,140.002,31,0.517,745820168931355898,745741632400020639,1145,
